Owner                          , Name                                                      , Stars , IdadeMeses, PRsMes, ReleasesMes, DiasDesdeAtualizacao, LinguagemPrincipal, TotalIssues, ClosedIssues, PercentualIssuesFechadas
scikit-learn                   , scikit-learn                                              ,  63216,        181,  74.66,        0.26,                    0, Python            ,       11678,        10093,                    86.43
All-Hands-AI                   , OpenHands                                                 ,  63117,         18, 291.94,        4.28,                    0, Python            ,        3344,         2988,                    89.35
labmlai                        , annotated_deep_learning_paper_implementations             ,  63002,         61,   1.66,        0.00,                    0, Python            ,         137,          113,                    82.48
chrislgarry                    , Apollo-11                                                 ,  62997,        137,   2.50,        0.00,                    0, Assembly          ,         382,          326,                    85.34
bradtraversy                   , design-resources-for-developers                           ,  62962,         64,  14.86,        0.00,                    0, N/A               ,         104,          104,                   100.00
resume                         , resume.github.com                                         ,  62601,        175,   0.48,        0.00,                    0, JavaScript        ,         122,           66,                    54.10
prakhar1989                    , awesome-courses                                           ,  62596,        130,   1.49,        0.00,                    0, N/A               ,          81,           39,                    48.15
sindresorhus                   , awesome-nodejs                                            ,  62484,        134,   3.12,        0.00,                    0, N/A               ,         104,          102,                    98.08
socketio                       , socket.io                                                 ,  62369,        186,   2.34,        0.40,                    0, TypeScript        ,        3621,         3426,                    94.61
FuelLabs                       , sway                                                      ,  62153,         56,  62.79,        3.18,                    0, Rust              ,        3305,         2455,                    74.28
facebook                       , docusaurus                                                ,  61593,         99,  55.45,        1.53,                    0, TypeScript        ,        3323,         3030,                    91.18
dair-ai                        , Prompt-Engineering-Guide                                  ,  61440,         33,  10.30,        0.00,                    0, MDX               ,         223,           71,                    31.84
mlabonne                       , llm-course                                                ,  61407,         27,   0.04,        0.00,                    0, N/A               ,          84,           30,                    35.71
reduxjs                        , redux                                                     ,  61333,        124,  13.88,        0.63,                    0, TypeScript        ,        2063,         2024,                    98.11
lodash                         , lodash                                                    ,  60944,        161,   3.61,        0.01,                    0, JavaScript        ,        4312,         4228,                    98.05
atom                           , atom                                                      ,  60622,        164,  23.98,        3.28,                    0, JavaScript        ,       17111,        16148,                    94.37
h5bp                           , Front-end-Developer-Interview-Questions                   ,  60554,        163,   2.97,        0.00,                    0, Nunjucks          ,         177,          143,                    80.79
xingshaocheng                  , architect-awesome                                         ,  60426,         89,   0.55,        0.00,                    0, N/A               ,          71,           22,                    30.99
openinterpreter                , open-interpreter                                          ,  60405,         26,  14.19,        1.85,                    0, Python            ,        1025,          798,                    77.85
localstack                     , localstack                                                ,  60341,        107,  58.57,        0.88,                    0, Python            ,        6007,         5769,                    96.04
prometheus                     , prometheus                                                ,  60200,        154,  49.69,        2.22,                    0, Go                ,        6183,         5658,                    91.51
alacritty                      , alacritty                                                 ,  60185,        115,  16.44,        0.89,                    0, Rust              ,        6130,         5807,                    94.73
adam-p                         , markdown-here                                             ,  60004,        160,   0.17,        0.11,                    0, JavaScript        ,         629,          329,                    52.31
NationalSecurityAgency         , ghidra                                                    ,  59903,         78,   6.73,        0.59,                    0, Java              ,        5551,         4093,                    73.73
rust-lang                      , rustlings                                                 ,  59816,        120,   7.62,        0.38,                    0, Rust              ,         736,          689,                    93.61
jquery                         , jquery                                                    ,  59557,        197,   4.13,        0.06,                    0, JavaScript        ,        2365,         2286,                    96.66
ryanoasis                      , nerd-fonts                                                ,  59480,        129,   4.26,        0.29,                    0, CSS               ,        1095,         1062,                    96.99
tldr-pages                     , tldr                                                      ,  59122,        141, 105.60,        0.04,                    0, Markdown          ,        1526,         1348,                    88.34
shadowsocks                    , shadowsocks-windows                                       ,  59013,        152,   1.91,        0.36,                    0, C#                ,        2912,         2727,                    93.65
spring-projects                , spring-framework                                          ,  58776,        177,   4.93,        1.93,                    0, Java              ,       27140,        26859,                    98.96
angular                        , angular.js                                                ,  58772,        188,   4.20,        0.00,                    0, JavaScript        ,        9033,         8644,                    95.69
meta-llama                     , llama                                                     ,  58693,         31,   1.71,        0.00,                    0, Python            ,        1098,          652,                    59.38
FoundationAgents               , MetaGPT                                                   ,  58212,         27,  24.44,        0.81,                    0, Python            ,         868,          857,                    98.73
gorhill                        , uBlock                                                    ,  58161,        125,   2.02,        2.22,                    0, JavaScript        ,        3445,         3432,                    99.62
scrapy                         , scrapy                                                    ,  58116,        187,  12.82,        0.23,                    0, Python            ,        3186,         2717,                    85.28
youngyangyang04                , leetcode-master                                           ,  58082,         69,  33.42,        0.00,                    0, Shell             ,         272,           67,                    24.63
nuxt                           , nuxt                                                      ,  58081,        107,  64.84,        2.41,                    0, TypeScript        ,       16704,        15918,                    95.29
FuelLabs                       , fuel-core                                                 ,  57540,         61,  25.46,        2.02,                    1, Rust              ,        1119,          970,                    86.68
rails                          , rails                                                     ,  57391,        209, 120.54,        0.71,                    0, Ruby              ,       18215,        17733,                    97.35
hiyouga                        , LLaMA-Factory                                             ,  57284,         28,  25.00,        1.21,                    0, Python            ,        7380,         6770,                    91.73
h5bp                           , html5-boilerplate                                         ,  57149,        188,   4.20,        0.18,                    0, JavaScript        ,        1354,         1346,                    99.41
vllm-project                   , vllm                                                      ,  57103,         31, 291.84,        2.35,                    0, Python            ,       10571,         8756,                    82.83
Solido                         , awesome-flutter                                           ,  57059,        100,   4.44,        0.00,                    0, Dart              ,           0,            0,                     0.00
nocodb                         , nocodb                                                    ,  56744,         95,  56.21,        1.83,                    0, TypeScript        ,        4242,         3624,                    85.43
jgraph                         , drawio-desktop                                            ,  56593,        100,   0.20,        1.60,                    0, JavaScript        ,        1639,         1575,                    96.10
zylon-ai                       , private-gpt                                               ,  56545,         28,   8.00,        0.36,                    0, Python            ,        1214,          961,                    79.16
scutan90                       , DeepLearning-500-questions                                ,  56518,         87,   3.47,        0.00,                    0, JavaScript        ,         191,           81,                    42.41
traefik                        , traefik                                                   ,  56439,        120,  39.34,        4.03,                    0, Go                ,        6358,         5717,                    89.92
soimort                        , you-get                                                   ,  56383,        157,   3.71,        0.78,                    0, Python            ,           0,            0,                     0.00
FiloSottile                    , mkcert                                                    ,  56351,         87,   0.60,        0.16,                    0, Go                ,         345,          239,                    69.28
git                            , git                                                       ,  56317,        206,   0.01,        0.00,                    0, C                 ,           0,            0,                     0.00
PlexPt                         , awesome-chatgpt-prompts-zh                                ,  56075,         33,   1.00,        0.00,                    0, N/A               ,          96,           58,                    60.42
commaai                        , openpilot                                                 ,  55961,        106, 111.37,        0.55,                    0, Python            ,        3068,         2933,                    95.60
gatsbyjs                       , gatsby                                                    ,  55910,        124, 146.65,        1.26,                    0, JavaScript        ,       14120,        13904,                    98.47
topjohnwu                      , Magisk                                                    ,  55674,        108,  15.06,        1.40,                    0, Kotlin            ,        6270,         6234,                    99.43
azl397985856                   , leetcode                                                  ,  55599,         90,   2.86,        0.44,                    0, JavaScript        ,         257,          248,                    96.50
remix-run                      , react-router                                              ,  55442,        136,  23.64,        2.29,                    0, TypeScript        ,        8165,         8067,                    98.80
ageitgey                       , face_recognition                                          ,  55363,        102,   0.92,        0.02,                    0, Python            ,        1370,          596,                    43.50
ultralytics                    , yolov5                                                    ,  55198,         64,  34.55,        0.16,                    0, Python            ,        9434,         9178,                    97.29
BurntSushi                     , ripgrep                                                   ,  55045,        114,   4.53,        0.63,                    0, Rust              ,        1715,         1581,                    92.19
minio                          , minio                                                     ,  54998,        128,  77.01,        4.05,                    0, Go                ,        7820,         7781,                    99.50
CorentinJ                      , Real-Time-Voice-Cloning                                   ,  54947,         76,   0.63,        0.00,                    0, Python            ,        1101,          896,                    81.38
AntonOsika                     , gpt-engineer                                              ,  54811,         29,  12.07,        0.69,                    0, Python            ,         501,          470,                    93.81
toeverything                   , AFFiNE                                                    ,  54760,         38, 229.24,       15.32,                    0, TypeScript        ,        3035,         2734,                    90.08
firecrawl                      , firecrawl                                                 ,  54543,         17,  51.35,        1.47,                    0, TypeScript        ,         694,          554,                    79.83
pmndrs                         , zustand                                                   ,  54459,         77,  10.52,        1.27,                    0, TypeScript        ,         690,          688,                    99.71
deepfakes                      , faceswap                                                  ,  54458,         93,   3.84,        0.04,                    0, Python            ,         883,          848,                    96.04
ElemeFE                        , element                                                   ,  54242,        108,  29.92,        1.34,                    0, Vue               ,       17869,        15250,                    85.34
sharkdp                        , bat                                                       ,  54240,         89,  16.58,        0.46,                    0, Rust              ,        1519,         1194,                    78.60
lencx                          , ChatGPT                                                   ,  54070,         33,   3.73,        1.03,                    0, Rust              ,        1208,          361,                    29.88
golang-standards               , project-layout                                            ,  53704,         96,   0.94,        0.00,                    0, Makefile          ,         112,           44,                    39.29
wasabeef                       , awesome-android-ui                                        ,  53604,        129,   0.70,        0.00,                    0, N/A               ,         114,           94,                    82.46
Textualize                     , rich                                                      ,  53558,         70,  11.94,        2.43,                    0, Python            ,        1434,         1225,                    85.43
Z4nzu                          , hackingtool                                               ,  53456,         65,   0.86,        0.00,                    0, Python            ,         375,          322,                    85.87
necolas                        , normalize.css                                             ,  53389,        172,   0.33,        0.00,                    0, CSS               ,         517,          461,                    89.17
PaddlePaddle                   , PaddleOCR                                                 ,  53302,         64,  46.36,        0.38,                    0, Python            ,        9928,         9778,                    98.49
psf                            , requests                                                  ,  53245,        175,   9.10,        0.08,                    0, Python            ,        4062,         3862,                    95.08
maybe-finance                  , maybe                                                     ,  53237,         20,  53.65,        1.40,                    0, Ruby              ,           0,            0,                     0.00
pi-hole                        , pi-hole                                                   ,  53161,        135,  15.61,        0.87,                    0, Shell             ,        3085,         3044,                    98.67
withastro                      , astro                                                     ,  53158,         54, 136.24,       18.52,                    0, TypeScript        ,        5584,         5444,                    97.49
meilisearch                    , meilisearch                                               ,  53033,         89,  24.27,        3.01,                    0, Rust              ,        2311,         2110,                    91.30
FFmpeg                         , FFmpeg                                                    ,  52929,        173,   0.09,        0.00,                    0, C                 ,           0,            0,                     0.00
appwrite                       , appwrite                                                  ,  52561,         77,  50.52,        1.45,                    0, TypeScript        ,        4102,         3472,                    84.64
rust-unofficial                , awesome-rust                                              ,  52411,        134,  11.75,        0.00,                    0, Rust              ,         142,          132,                    92.96
rclone                         , rclone                                                    ,  52382,        138,  15.46,        0.83,                    0, Go                ,        5801,         4833,                    83.31
tiimgreen                      , github-cheat-sheet                                        ,  52314,        137,   0.94,        0.00,                    0, N/A               ,          71,           48,                    67.61
google                         , material-design-icons                                     ,  52038,        131,   0.38,        0.12,                    0, N/A               ,        1532,         1159,                    75.65
ionic-team                     , ionic-framework                                           ,  52023,        145,  43.50,        6.30,                    0, TypeScript        ,       22064,        21483,                    97.37
unclecode                      , crawl4ai                                                  ,  52012,         16,   6.12,        0.50,                    0, Python            ,         812,          648,                    79.80
wagoodman                      , dive                                                      ,  51895,         88,   1.86,        0.32,                    0, Go                ,         359,          202,                    56.27
OpenBB-finance                 , OpenBB                                                    ,  51841,         57,  72.21,        0.81,                    0, Python            ,        2245,         2208,                    98.35
mozilla                        , pdf.js                                                    ,  51746,        173,  46.92,        0.45,                    0, JavaScript        ,       10291,         9877,                    95.98
facebookresearch               , segment-anything                                          ,  51711,         30,   0.50,        0.00,                    0, Jupyter Notebook  ,         704,          178,                    25.28
vuejs                          , core                                                      ,  51487,         87,  37.53,        2.85,                    0, TypeScript        ,        5789,         5124,                    88.51
sickcodes                      , Docker-OSX                                                ,  51309,         63,   1.70,        0.00,                    0, Shell             ,         669,          282,                    42.15
ngosang                        , trackerslist                                              ,  51231,        113,   0.01,        0.00,                    0, N/A               ,         486,          479,                    98.56
JetBrains                      , kotlin                                                    ,  51210,        163,  12.66,        1.64,                    0, Kotlin            ,           0,            0,                     0.00
Semantic-Org                   , Semantic-UI                                               ,  51197,        149,   2.38,        1.03,                    0, JavaScript        ,        6235,         5268,                    84.49
marktext                       , marktext                                                  ,  51186,         94,   9.99,        0.38,                    0, JavaScript        ,        2916,         1638,                    56.17
laurent22                      , joplin                                                    ,  51123,        104,  42.76,        3.72,                    0, TypeScript        ,        7290,         6735,                    92.39
google                         , guava                                                     ,  51074,        136,   7.50,        0.41,                    0, Java              ,        3624,         2994,                    82.62
prettier                       , prettier                                                  ,  50910,        106,  83.92,        1.20,                    0, JavaScript        ,        6963,         5741,                    82.45
starship                       , starship                                                  ,  50879,         77,  37.75,        1.75,                    0, Rust              ,        2515,         1775,                    70.58
romkatv                        , powerlevel10k                                             ,  50780,         79,   2.11,        0.42,                    0, Shell             ,        2574,         2466,                    95.80
jekyll                         , jekyll                                                    ,  50595,        203,  15.71,        0.55,                    0, Ruby              ,        4899,         4781,                    97.59
RVC-Boss                       , GPT-SoVITS                                                ,  50593,         20,  16.90,        0.20,                    0, Python            ,        1903,         1179,                    61.95
TryGhost                       , Ghost                                                     ,  50500,        148,  96.81,        6.11,                    0, JavaScript        ,        7140,         7070,                    99.02
xai-org                        , grok-1                                                    ,  50488,         18,   0.28,        0.00,                    0, Python            ,           0,            0,                     0.00
go-gitea                       , gitea                                                     ,  50458,        106, 168.02,        2.04,                    0, Go                ,       14926,        12321,                    82.55
WerWolv                        , ImHex                                                     ,  50323,         58,  11.64,        1.38,                    0, C++               ,        1423,         1185,                    83.27
DefinitelyTyped                , DefinitelyTyped                                           ,  50279,        155, 336.59,        0.01,                    0, TypeScript        ,        8088,         7522,                    93.00
pocketbase                     , pocketbase                                                ,  50254,         38,   1.42,        5.82,                    0, Go                ,        1846,         1827,                    98.97
etcd-io                        , etcd                                                      ,  50206,        146,  67.22,        1.77,                    0, Go                ,        7018,         6833,                    97.36
firstcontributions             , first-contributions                                       ,  50175,        108, 801.67,        0.00,                    0, N/A               ,         939,          913,                    97.23
cline                          , cline                                                     ,  50055,         14, 124.86,       10.71,                    0, TypeScript        ,        2299,         1850,                    80.47
chinese-poetry                 , chinese-poetry                                            ,  50016,        108,   1.27,        0.01,                    0, JavaScript        ,         211,           92,                    43.60
jgthms                         , bulma                                                     ,  49932,        116,   5.53,        0.19,                    0, CSS               ,        2725,         2394,                    87.85
vsouza                         , awesome-ios                                               ,  49793,        134,  16.66,        0.00,                    0, Swift             ,         488,          486,                    99.59
ethereum                       , go-ethereum                                               ,  49705,        141,  58.79,        1.56,                    0, Go                ,        8488,         8300,                    97.79
FoundationAgents               , OpenManus                                                 ,  49379,          6,  17.67,        0.50,                    0, Python            ,         706,          324,                    45.89
microsoft                      , autogen                                                   ,  49363,         25, 100.16,        3.88,                    0, Python            ,        2867,         2467,                    86.05
poteto                         , hiring-without-whiteboards                                ,  49213,        102,  12.75,        0.00,                    0, JavaScript        ,           0,            0,                     0.00
Asabeneh                       , 30-Days-Of-Python                                         ,  49054,         70,   0.87,        0.00,                    0, Python            ,         136,           79,                    58.09
agalwood                       , Motrix                                                    ,  49049,         81,   2.37,        0.26,                    0, JavaScript        ,        1340,          593,                    44.25
mastodon                       , mastodon                                                  ,  48942,        115, 154.66,        2.51,                    0, Ruby              ,       12274,         8244,                    67.17
justjavac                      , awesome-wechat-weapp                                      ,  48906,        108,   2.56,        0.00,                    0, N/A               ,           0,            0,                     0.00
cypress-io                     , cypress                                                   ,  48850,        126,  58.89,        2.97,                    0, TypeScript        ,       15107,        13807,                    91.39
NARKOZ                         , hacker-scripts                                            ,  48654,        118,   0.53,        0.00,                    0, JavaScript        ,          88,           53,                    60.23
dani-garcia                    , vaultwarden                                               ,  48653,         91,  11.04,        0.80,                    0, Rust              ,        2381,         2370,                    99.54
Mintplex-Labs                  , anything-llm                                              ,  48588,         27,  39.78,        0.74,                    0, JavaScript        ,        2779,         2503,                    90.07
PowerShell                     , PowerShell                                                ,  48344,        116,  65.31,        1.60,                    0, C#                ,       13040,        11936,                    91.53
AlistGo                        , alist                                                     ,  48325,         57,  15.25,        2.42,                    0, Go                ,        4357,         3806,                    87.35
ReactiveX                      , RxJava                                                    ,  48280,        152,  21.91,        1.59,                    0, Java              ,        3171,         3159,                    99.62
iamkun                         , dayjs                                                     ,  48196,         89,   7.96,        1.39,                    0, JavaScript        ,        1779,          860,                    48.34
Avik-Jain                      , 100-Days-Of-ML-Code                                       ,  48125,         86,   0.07,        0.00,                    0, N/A               ,           0,            0,                     0.00
TapXWorld                      , ChinaTextbook                                             ,  48118,         68,   0.01,        0.00,                    0, Roff              ,         114,           53,                    46.49
moment                         , moment                                                    ,  48095,        174,   4.10,        0.00,                    0, JavaScript        ,        4154,         3910,                    94.13
charlax                        , professional-programming                                  ,  47968,        118,   0.33,        0.00,                    0, Python            ,          29,           29,                   100.00
algorithm-visualizer           , algorithm-visualizer                                      ,  47690,        112,   1.63,        0.00,                    0, JavaScript        ,         118,           76,                    64.41
JuliaLang                      , julia                                                     ,  47583,        173, 149.57,        1.05,                    0, Julia             ,       25393,        21421,                    84.36
minimaxir                      , big-list-of-naughty-strings                               ,  47399,        121,   0.74,        0.00,                    0, Python            ,         101,           32,                    31.68
huginn                         , huginn                                                    ,  47203,        150,   6.95,        0.01,                    0, Ruby              ,        2170,         1569,                    72.30
LadybirdBrowser                , ladybird                                                  ,  47203,         16, 269.75,        0.00,                    0, C++               ,        1160,          660,                    56.90
nlohmann                       , json                                                      ,  47070,        146,   6.20,        0.31,                    0, C++               ,        2340,         2300,                    98.29
serverless                     , serverless                                                ,  46869,        125,  37.74,        3.64,                    0, JavaScript        ,        6520,         5387,                    82.62
gogs                           , gogs                                                      ,  46843,        139,  12.74,        0.60,                    0, Go                ,        5160,         4223,                    81.84
karan                          , Projects                                                  ,  46812,        146,   0.13,        0.00,                    0, N/A               ,          85,           36,                    42.35
x64dbg                         , x64dbg                                                    ,  46810,        125,   5.95,        0.03,                    0, C++               ,        2636,         2027,                    76.90
kamranahmedse                  , design-patterns-for-humans                                ,  46796,        103,   0.49,        0.00,                    0, N/A               ,          52,           47,                    90.38
square                         , okhttp                                                    ,  46629,        158,  23.89,        0.00,                    0, Kotlin            ,        4186,         4136,                    98.81
typescript-cheatsheets         , react                                                     ,  46583,         87,   4.26,        0.00,                    0, JavaScript        ,         222,          221,                    99.55
TanStack                       , query                                                     ,  46513,         72,  40.40,       13.89,                    0, TypeScript        ,        2170,         2107,                    97.10
hashicorp                      , terraform                                                 ,  46494,        138,  93.06,        2.76,                    0, Go                ,       21430,        19688,                    91.87
pandas-dev                     , pandas                                                    ,  46470,        181, 148.88,        0.62,                    0, Python            ,       27688,        24119,                    87.11
type-challenges                , type-challenges                                           ,  46393,         62,   9.48,        0.00,                    0, TypeScript        ,       36421,         3846,                    10.56
dkhamsing                      , open-source-ios-apps                                      ,  46370,        128,  11.13,        0.29,                    0, N/A               ,         316,          315,                    99.68
v2ray                          , v2ray-core                                                ,  46350,        120,   1.69,        2.06,                    0, Go                ,        2591,         2584,                    99.73
lllyasviel                     , Fooocus                                                   ,  46335,         25,  17.92,        0.84,                    0, Python            ,        1615,         1403,                    86.87
ziishaned                      , learn-regex                                               ,  46081,         98,   1.35,        0.00,                    0, N/A               ,          87,           35,                    40.23
slab                           , quill                                                     ,  46038,        158,   2.41,        0.60,                    0, TypeScript        ,        3776,         3268,                    86.55
lyswhut                        , lx-music-desktop                                          ,  46019,         73,   1.18,        1.51,                    0, TypeScript        ,        2201,         1236,                    56.16
jesseduffield                  , lazydocker                                                ,  45925,         76,   2.45,        0.55,                    0, Go                ,         364,          190,                    52.20
bigskysoftware                 , htmx                                                      ,  45849,         65,  14.74,        0.40,                    0, JavaScript        ,        1579,         1007,                    63.77
pixijs                         , pixijs                                                    ,  45675,        152,  24.32,        1.93,                    0, TypeScript        ,        5995,         5757,                    96.03
kelseyhightower                , kubernetes-the-hard-way                                   ,  45616,        110,   0.66,        0.00,                    0, N/A               ,         428,          415,                    96.96
odoo                           , odoo                                                      ,  45431,        136,  45.45,        0.00,                    0, Python            ,       18418,        15113,                    82.06
brillout                       , awesome-react-components                                  ,  45366,        111,   2.92,        0.00,                    0, N/A               ,          52,           44,                    84.62
jakevdp                        , PythonDataScienceHandbook                                 ,  45357,        109,   0.26,        0.00,                    0, Jupyter Notebook  ,         204,           78,                    38.24
skylot                         , jadx                                                      ,  45348,        150,   3.85,        0.21,                    0, Java              ,        1922,         1528,                    79.50
android                        , architecture-samples                                      ,  45272,        115,   2.02,        0.00,                    0, Kotlin            ,         487,          348,                    71.46
typst                          , typst                                                     ,  45265,         72,  25.56,        0.31,                    0, Rust              ,        3513,         2589,                    73.70
dbeaver                        , dbeaver                                                   ,  45133,        119,  51.61,        1.94,                    0, Java              ,       19398,        16359,                    84.33
ultralytics                    , ultralytics                                               ,  45113,         36,  99.53,        7.39,                    0, Python            ,       11711,        11470,                    97.94
serhii-londar                  , open-source-mac-os-apps                                   ,  45073,         94,   5.59,        0.00,                    0, N/A               ,         211,          161,                    76.30
Asabeneh                       , 30-Days-Of-JavaScript                                     ,  45041,         69,   1.42,        0.00,                    0, JavaScript        ,         174,           59,                    33.91
jestjs                         , jest                                                      ,  45020,        141,  40.58,        1.50,                    0, TypeScript        ,        8121,         7879,                    97.02
unslothai                      , unsloth                                                   ,  45018,         22,  22.41,        0.77,                    0, Python            ,        2488,         1758,                    70.66
ColorlibHQ                     , AdminLTE                                                  ,  44973,        141,  10.96,        0.55,                    0, CSS               ,        2888,         2747,                    95.12
discourse                      , discourse                                                 ,  44972,        152, 199.11,        0.00,                    0, Ruby              ,           0,            0,                     0.00
akullpp                        , awesome-java                                              ,  44903,        134,   5.34,        0.00,                    0, N/A               ,         136,          136,                   100.00
oobabooga                      , text-generation-webui                                     ,  44857,         33,  35.88,        2.45,                    0, Python            ,        4007,         1431,                    35.71
coollabsio                     , coolify                                                   ,  44829,         56,  29.68,       11.20,                    0, PHP               ,        2843,         2274,                    79.99
dypsilon                       , frontend-dev-bookmarks                                    ,  44747,        147,   0.88,        0.01,                    0, N/A               ,         107,           82,                    76.64
Homebrew                       , brew                                                      ,  44716,        114, 114.53,        3.90,                    0, Ruby              ,        4820,         4798,                    99.54
termux                         , termux-app                                                ,  44708,        119,   1.36,        0.80,                    0, Java              ,        2929,         2525,                    86.21
meteor                         , meteor                                                    ,  44686,        164,  15.51,        0.00,                    0, JavaScript        ,        9206,         8950,                    97.22
google                         , zx                                                        ,  44578,         52,  10.63,        1.85,                    0, JavaScript        ,         490,          476,                    97.14
2dust                          , v2rayNG                                                   ,  44529,         76,   6.57,        3.39,                    0, Kotlin            ,        3429,         3423,                    99.83
vercel                         , hyper                                                     ,  44243,        110,  29.92,        0.80,                    0, TypeScript        ,        3814,         2872,                    75.30
isocpp                         , CppCoreGuidelines                                         ,  44148,        121,   6.71,        0.03,                    0, CSS               ,        1211,          964,                    79.60
LeCoupa                        , awesome-cheatsheets                                       ,  44076,         94,   1.80,        0.00,                    0, JavaScript        ,          96,           59,                    61.46
usememos                       , memos                                                     ,  44051,         45,  40.18,        1.78,                    0, Go                ,        2483,         2460,                    99.07
run-llama                      , llama_index                                               ,  44047,         34, 207.15,       11.97,                    0, Python            ,        6641,         6428,                    96.79
karpathy                       , nanoGPT                                                   ,  44012,         33,   1.36,        0.00,                    0, Python            ,         337,          110,                    32.64
DovAmir                        , awesome-design-patterns                                   ,  43953,         87,   0.34,        0.00,                    0, N/A               ,          15,            5,                    33.33
parcel-bundler                 , parcel                                                    ,  43944,         97,  26.72,        0.49,                    0, JavaScript        ,        5489,         5015,                    91.36
dockur                         , windows                                                   ,  43905,         20,  20.75,        5.20,                    0, Shell             ,         849,          741,                    87.28
acmesh-official                , acme.sh                                                   ,  43851,        117,  12.18,        0.38,                    0, Shell             ,        3324,         2242,                    67.45
